,mean_b,var_b,skew_b,kurt_b,entr_b,mean_g,var_g,skew_g,kurt_g,entr_g,mean_r,var_r,skew_r,kurt_r,entr_r,major_axis_length,minor_axis_length,area,perimeter,roundness,aspect_ratio,class,class_int
102,215.03727338651197,6829.422686111627,-2.205414817845884,2.8997620858232347,4.310649119320239,194.29311094996373,5618.418074368401,-2.170612117880962,2.8179738588358862,4.996926445388377,227.29209572153735,176.5116344041804,0.8919038788146854,0.15190539875283893,4.943657700627195,221.32627868652344,41.52021789550781,7088.0,479.12697780132294,0.3880005336322987,5.330566406070555,bas,
103,213.7516671498985,6034.069528244097,-2.35144466842695,3.6395246630625984,4.910883342748094,191.43084952160046,4958.271022792375,-2.2382294737250397,3.3521539243258003,5.623702654122387,219.69933314004058,341.9101793175477,0.538318740311419,-0.6066246969613922,5.647296387831135,225.63717651367188,41.8525276184082,7095.0,474.7005715370178,0.3956605538610973,5.391243715813923,bas,
104,205.19238841471946,6371.980476553766,-2.1508884572528215,2.716296858222986,4.981950131876804,191.8211837134462,5636.051976043905,-2.097607431221886,2.5934766962274054,5.360336074980363,213.43290891283056,396.72933815918606,0.9481313576027336,-0.0598152141759285,5.39934813764967,220.55445861816406,43.3901481628418,7358.0,465.42135322093964,0.42685172262230237,5.083053825730911,bas,
105,207.81216828478964,5222.766143194981,-2.490439274323674,4.324268894404743,4.8053260034819125,188.34990291262136,4364.3797038740695,-2.4041795953454392,4.101321938713672,5.209520796712093,216.93721682847897,300.6348932248301,1.1373498963315214,0.20913973291811372,5.217368344489806,250.041259765625,46.440345764160156,7924.5,483.4284929037094,0.42610560420756094,5.384138633149275,bas,
106,218.13346119133573,5381.080676377556,-2.5984008072722546,4.878558040285609,4.746995264928378,199.62522563176896,4701.771547783025,-2.395740946827727,4.274538648144192,5.782220691437115,224.59769855595667,342.9180271943301,0.20069879353800507,-0.9861989450697703,5.728652342328115,222.70361328125,53.98318862915039,9059.0,488.09754157066345,0.4778338181769183,4.125425321041377,bas,
107,207.1527254869864,6436.398838945922,-2.16559634414854,2.7763701664650506,4.857424113945555,183.38287772139466,5148.962424129917,-2.0736145225776865,2.5684872532289216,5.509989927751096,215.56588639711902,382.58810455478147,0.8675891452855289,-0.24243530070336572,5.4726734527059575,190.9036102294922,43.020137786865234,6274.5,412.94321143627167,0.46238988570317346,4.437540650736322,bas,
108,215.2448515835819,6095.903689230208,-2.3624783204226727,3.675292257884638,4.728263967558481,195.72248260190315,5152.156189604334,-2.2608178167594546,3.4100118218653055,5.512116526256198,227.6236330066752,247.8290906785527,0.21742388518764402,-0.5291798569544865,5.411205568211858,223.6582489013672,44.48157501220703,7240.0,476.2152906656265,0.4011822948961301,5.028109927312351,bas,
109,206.2418595527658,6898.158647934766,-2.05058896278617,2.2900198968361103,4.847115388817956,188.32012553942724,5904.9230198351615,-1.936139326441927,2.0527524855725465,5.495954457657831,223.30894468418987,368.00243470427637,0.43061379479867784,-1.141345472871212,5.460090246690483,178.51339721679688,38.302249908447266,5274.5,395.1787132024765,0.4244280470593012,4.6606504224553955,bas,
110,211.90502261366342,5040.802452754785,-2.5946038551093316,4.907711389602946,5.133691944057975,198.2912401809093,4463.918154639053,-2.5367593966006234,4.74405197341678,5.279508135396489,223.172458938348,238.6185559388638,0.6907184313886123,-0.38730680941268725,5.26131228881614,239.04530334472656,48.022705078125,8635.0,503.6223645210266,0.4278210906001486,4.977755896004596,bas,
111,218.51534991997673,6190.738342875518,-2.396291892580764,3.8050516803069243,4.388031754096721,197.03899316164703,5187.310570323393,-2.2562507910891196,3.4374320124767337,5.570230632665034,228.44507493088898,262.8964812725754,0.25091941345548596,-0.9859549736373374,5.422910239276106,204.5579376220703,47.16482925415039,7059.5,446.6589423418045,0.44466376427817506,4.3370863598338945,bas,
112,208.95099567099567,6167.312403770545,-2.242875778158469,3.155176158438084,4.996909628120176,180.75359307359307,4720.935127782463,-2.1371581047643335,2.9131051896801186,5.481755193063585,213.3939393939394,407.33589400498494,0.9061088138140079,-0.24342450787864456,5.468416359103173,212.7906036376953,41.1517333984375,5950.5,434.60006606578827,0.39589840087875666,5.170878261127508,bas,
113,208.7753080147339,4378.643404023633,-2.786292730818576,5.942399712325885,5.0457958598326735,196.44061983995937,3945.182330722111,-2.697233414052799,5.646584407911789,5.465522502817968,216.30864981582624,285.2048750092141,0.8142817278782457,0.2442488983450528,5.531086294660246,225.1115264892578,49.696781158447266,8098.0,480.16652059555054,0.44137109164191035,4.529700339576102,bas,
114,210.09397757484683,5203.006426567062,-2.5099768196197583,4.486621764981504,5.153691300863524,192.77921627557507,4439.623662361155,-2.4425053303839497,4.305442485561056,5.350994368941263,219.71228759680963,277.3654934491341,0.819732433149455,-0.28549634184579986,5.311356952942471,229.56085205078125,52.2478141784668,8871.0,493.3624781370163,0.4579838984036953,4.393692935491099,bas,
115,217.6860745148038,5866.862210104095,-2.468802333539901,4.162339945032545,4.467946279987781,197.5132455021958,4960.6175820294,-2.3400382746311044,3.8178634374265954,5.429803380963141,224.45601359966,269.3394379122672,0.6453047178935222,-0.8058473630844634,5.384571903261885,211.40652465820312,46.60393524169922,7264.0,458.39191603660583,0.43442198878511173,4.5362376280414525,bas,
116,221.91969981238273,5720.790049691001,-2.5686676771391546,4.672562494719865,4.306381171366663,207.92182614133833,5116.840793163018,-2.4762783618631232,4.407316464520995,5.230548482011891,234.24615384615385,181.3668004040987,0.0848430524088594,-0.5419529818035951,5.131693483032983,218.70704650878906,51.81544494628906,8189.0,471.185852766037,0.4635069498289281,4.220885234807821,bas,
